Fecha ,Tasa ,IPC
17/12/2007,2009.85,64.82
18/12/2007,2006.48,64.82
19/12/2007,2007.98,64.82
20/12/2007,2005.92,64.82
21/12/2007,2000.58,64.82
22/12/2007,1993.08,64.82
23/12/2007,1993.08,64.82
24/12/2007,1993.08,64.82
25/12/2007,1989.70,64.82
26/12/2007,1989.70,64.82
27/12/2007,1987.81,64.82
28/12/2007,2001.72,64.82
29/12/2007,2014.76,64.82
30/12/2007,2014.76,64.82
31/12/2007,2014.76,64.82
1/01/2008,2014.76,65.51
2/01/2008,2014.76,65.51
3/01/2008,2012.82,65.51
4/01/2008,2013.27,65.51
5/01/2008,2013.98,65.51
6/01/2008,2013.98,65.51
7/01/2008,2013.98,65.51
8/01/2008,2013.98,65.51
9/01/2008,2000.91,65.51
10/01/2008,2004.70,65.51
11/01/2008,2003.74,65.51
12/01/2008,1985.35,65.51
13/01/2008,1985.35,65.51
14/01/2008,1985.35,65.51
15/01/2008,1949.43,65.51
16/01/2008,1948.91,65.51
17/01/2008,1960.49,65.51
18/01/2008,1947.60,65.51
19/01/2008,1968.13,65.51
20/01/2008,1968.13,65.51
21/01/2008,1968.13,65.51
22/01/2008,1968.13,65.51
23/01/2008,2007.41,65.51
24/01/2008,2005.08,65.51
25/01/2008,1970.65,65.51
26/01/2008,1961.30,65.51
27/01/2008,1961.30,65.51
28/01/2008,1961.30,65.51
29/01/2008,1969.65,65.51
30/01/2008,1946.54,65.51
31/01/2008,1939.60,65.51
1/02/2008,1939.77,66.50
2/02/2008,1921.94,66.50
3/02/2008,1921.94,66.50
4/02/2008,1921.94,66.50
5/02/2008,1917.26,66.50
6/02/2008,1928.30,66.50
7/02/2008,1929.70,66.50
8/02/2008,1935.49,66.50
9/02/2008,1923.08,66.50
10/02/2008,1923.08,66.50
11/02/2008,1923.08,66.50
12/02/2008,1912.80,66.50
13/02/2008,1901.38,66.50
14/02/2008,1898.40,66.50
15/02/2008,1894.87,66.50
16/02/2008,1905.37,66.50
17/02/2008,1905.37,66.50
18/02/2008,1905.37,66.50
19/02/2008,1905.37,66.50
20/02/2008,1890.74,66.50
21/02/2008,1910.81,66.50
22/02/2008,1895.85,66.50
23/02/2008,1892.00,66.50
24/02/2008,1892.00,66.50
25/02/2008,1892.00,66.50
26/02/2008,1887.97,66.50
27/02/2008,1879.19,66.50
28/02/2008,1854.87,66.50
29/02/2008,1843.59,66.50
1/03/2008,1845.17,67.03
2/03/2008,1845.17,67.03
3/03/2008,1845.17,67.03
4/03/2008,1849.46,67.03
5/03/2008,1841.61,67.03
6/03/2008,1856.69,67.03
7/03/2008,1880.12,67.03
8/03/2008,1902.17,67.03
9/03/2008,1902.17,67.03
10/03/2008,1902.17,67.03
11/03/2008,1864.78,67.03
12/03/2008,1865.98,67.03
13/03/2008,1853.41,67.03
14/03/2008,1856.01,67.03
15/03/2008,1843.95,67.03
16/03/2008,1843.95,67.03
17/03/2008,1843.95,67.03
18/03/2008,1857.55,67.03
19/03/2008,1823.11,67.03
20/03/2008,1815.65,67.03
21/03/2008,1815.65,67.03
22/03/2008,1815.65,67.03
23/03/2008,1815.65,67.03
24/03/2008,1815.65,67.03
25/03/2008,1815.65,67.03
26/03/2008,1835.01,67.03
27/03/2008,1821.31,67.03
28/03/2008,1810.68,67.03
29/03/2008,1821.60,67.03
30/03/2008,1821.60,67.03
31/03/2008,1821.60,67.03
1/04/2008,1834.96,67.51
2/04/2008,1827.94,67.51
3/04/2008,1826.34,67.51
4/04/2008,1824.39,67.51
5/04/2008,1816.28,67.51
6/04/2008,1816.28,67.51
7/04/2008,1816.28,67.51
8/04/2008,1811.23,67.51
9/04/2008,1812.85,67.51
10/04/2008,1799.07,67.51
11/04/2008,1791.63,67.51
12/04/2008,1792.49,67.51
13/04/2008,1792.49,67.51
14/04/2008,1792.49,67.51
15/04/2008,1792.69,67.51
16/04/2008,1797.89,67.51
17/04/2008,1798.89,67.51
18/04/2008,1792.87,67.51
19/04/2008,1785.17,67.51
20/04/2008,1785.17,67.51
21/04/2008,1785.17,67.51
22/04/2008,1780.79,67.51
23/04/2008,1775.08,67.51
24/04/2008,1765.30,67.51
25/04/2008,1765.75,67.51
26/04/2008,1775.22,67.51
27/04/2008,1775.22,67.51
28/04/2008,1775.22,67.51
29/04/2008,1767.73,67.51
30/04/2008,1780.21,67.51
1/05/2008,1767.27,68.14
2/05/2008,1767.27,68.14
3/05/2008,1756.25,68.14
4/05/2008,1756.25,68.14
5/05/2008,1756.25,68.14
6/05/2008,1756.25,68.14
7/05/2008,1769.32,68.14
8/05/2008,1787.62,68.14
9/05/2008,1793.13,68.14
10/05/2008,1781.79,68.14
11/05/2008,1781.79,68.14
12/05/2008,1781.79,68.14
13/05/2008,1781.29,68.14
14/05/2008,1780.01,68.14
15/05/2008,1787.65,68.14
16/05/2008,1792.94,68.14
17/05/2008,1785.04,68.14
18/05/2008,1785.04,68.14
19/05/2008,1785.04,68.14
20/05/2008,1779.35,68.14
21/05/2008,1787.59,68.14
22/05/2008,1779.48,68.14
23/05/2008,1779.59,68.14
24/05/2008,1777.98,68.14
25/05/2008,1777.98,68.14
26/05/2008,1777.98,68.14
27/05/2008,1777.98,68.14
28/05/2008,1772.55,68.14
29/05/2008,1767.41,68.14
30/05/2008,1755.95,68.14
31/05/2008,1744.01,68.14
1/06/2008,1744.01,68.73
2/06/2008,1744.01,68.73
3/06/2008,1744.01,68.73
4/06/2008,1730.61,68.73
5/06/2008,1728.76,68.73
6/06/2008,1709.95,68.73
7/06/2008,1702.44,68.73
8/06/2008,1702.44,68.73
9/06/2008,1702.44,68.73
10/06/2008,1687.13,68.73
11/06/2008,1696.79,68.73
12/06/2008,1700.94,68.73
13/06/2008,1705.35,68.73
14/06/2008,1707.87,68.73
15/06/2008,1707.87,68.73
16/06/2008,1707.87,68.73
17/06/2008,1684.52,68.73
18/06/2008,1655.42,68.73
19/06/2008,1652.41,68.73
20/06/2008,1670.31,68.73
21/06/2008,1678.82,68.73
22/06/2008,1678.82,68.73
23/06/2008,1678.82,68.73
24/06/2008,1713.63,68.73
25/06/2008,1748.04,68.73
26/06/2008,1783.44,68.73
27/06/2008,1832.81,68.73
28/06/2008,1923.02,68.73
29/06/2008,1923.02,68.73
30/06/2008,1923.02,68.73
1/07/2008,1923.02,69.06
2/07/2008,1915.44,69.06
3/07/2008,1818.60,69.06
4/07/2008,1748.43,69.06
5/07/2008,1748.43,69.06
6/07/2008,1748.43,69.06
7/07/2008,1748.43,69.06
8/07/2008,1719.48,69.06
9/07/2008,1736.49,69.06
10/07/2008,1728.74,69.06
11/07/2008,1768.09,69.06
12/07/2008,1778.80,69.06
13/07/2008,1778.80,69.06
14/07/2008,1778.80,69.06
15/07/2008,1753.51,69.06
16/07/2008,1777.17,69.06
17/07/2008,1768.53,69.06
18/07/2008,1757.79,69.06
19/07/2008,1788.24,69.06
20/07/2008,1788.24,69.06
21/07/2008,1788.24,69.06
22/07/2008,1802.01,69.06
23/07/2008,1797.43,69.06
24/07/2008,1772.25,69.06
25/07/2008,1777.10,69.06
26/07/2008,1785.17,69.06
27/07/2008,1785.17,69.06
28/07/2008,1785.17,69.06
29/07/2008,1764.48,69.06
30/07/2008,1789.68,69.06
31/07/2008,1792.24,69.06
1/08/2008,1800.54,69.19
2/08/2008,1779.97,69.19
3/08/2008,1779.97,69.19
4/08/2008,1779.97,69.19
5/08/2008,1771.31,69.19
6/08/2008,1772.16,69.19
7/08/2008,1782.92,69.19
8/08/2008,1782.92,69.19
9/08/2008,1746.69,69.19
10/08/2008,1745.88,69.19
11/08/2008,1745.08,69.19
12/08/2008,1744.27,69.19
13/08/2008,1743.47,69.19
14/08/2008,1742.66,69.19
15/08/2008,1741.86,69.19
16/08/2008,1741.05,69.19
17/08/2008,1740.25,69.19
18/08/2008,1739.44,69.19
19/08/2008,1738.64,69.19
20/08/2008,1737.83,69.19
21/08/2008,1737.03,69.19
22/08/2008,1736.22,69.19
23/08/2008,1735.42,69.19
24/08/2008,1734.61,69.19
25/08/2008,1733.81,69.19
26/08/2008,1733.00,69.19
27/08/2008,1732.20,69.19
28/08/2008,1731.39,69.19
29/08/2008,1730.59,69.19
30/08/2008,1729.78,69.19
31/08/2008,1728.98,69.19
1/09/2008,1728.17,69.06
2/09/2008,1727.37,69.06
3/09/2008,1726.56,69.06
4/09/2008,1725.76,69.06
5/09/2008,1724.95,69.06
6/09/2008,1724.15,69.06
7/09/2008,1723.34,69.06
8/09/2008,1722.54,69.06
9/09/2008,1721.73,69.06
10/09/2008,1720.93,69.06
11/09/2008,1720.12,69.06
12/09/2008,1719.32,69.06
13/09/2008,1718.51,69.06
14/09/2008,1717.71,69.06
15/09/2008,1716.90,69.06
16/09/2008,1716.10,69.06
17/09/2008,1715.29,69.06
18/09/2008,1714.49,69.06
19/09/2008,1713.68,69.06
